2022-05-20 12:05:459 INFO  HomePage :37 - Clicking on Search Car Option : [[ChromeDriver: chrome on WINDOWS (ef0e720ce84afd3fe3fee1f9617ae4ac)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:281 INFO  HomePage :43 - Verify New & Used Car Search - carsguide Text :[[ChromeDriver: chrome on WINDOWS (ef0e720ce84afd3fe3fee1f9617ae4ac)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-20 12:05:499 INFO  HomePage :49 - select make : Audi
2022-05-20 12:05:553 INFO  HomePage :55 - select model : A3
2022-05-20 12:05:636 INFO  HomePage :61 - select model : ACT-All
2022-05-20 12:05:766 INFO  HomePage :66 - select model : $50,000
2022-05-20 12:05:872 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (ef0e720ce84afd3fe3fee1f9617ae4ac)] -> xpath: //input[@id='search-submit']]
2022-05-20 12:05:882 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (ef0e720ce84afd3fe3fee1f9617ae4ac)] -> css selector: .listing-search-title]
2022-05-20 12:05:556 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 12:05:716 INFO  HomePage :32 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (69b7a02649cea951df675583f93aa5e1)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:883 INFO  HomePage :42 - Clicking on Used Search Car Option : [[ChromeDriver: chrome on WINDOWS (69b7a02649cea951df675583f93aa5e1)] -> xpath: //header/div[@id='u_H']/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/a[1]]
2022-05-20 12:05:139 INFO  HomePage :49 - select make : Jeep
2022-05-20 12:05:218 INFO  HomePage :55 - select model : Cherokee
2022-05-20 12:05:299 INFO  HomePage :61 - select model : ACT-All
2022-05-20 12:05:381 INFO  HomePage :66 - select model : $20,000
2022-05-20 12:05:736 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (69b7a02649cea951df675583f93aa5e1)] -> xpath: //input[@id='search-submit']]
2022-05-20 12:05:933 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 12:05:306 INFO  HomePage :32 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (bd4badf1ac23a51a5a801cb03006e923)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:482 INFO  HomePage :42 - Clicking on Used Search Car Option : [[ChromeDriver: chrome on WINDOWS (bd4badf1ac23a51a5a801cb03006e923)] -> xpath: //header/div[@id='u_H']/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/a[1]]
2022-05-20 12:05:282 INFO  HomePage :49 - select make : BMW
2022-05-20 12:05:341 INFO  HomePage :55 - select model : 116i
2022-05-20 12:05:400 INFO  HomePage :61 - select model : NSW-All
2022-05-20 12:05:464 INFO  HomePage :66 - select model : $30,000
2022-05-20 12:05:562 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (bd4badf1ac23a51a5a801cb03006e923)] -> xpath: //input[@id='search-submit']]
2022-05-20 12:05:607 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (bd4badf1ac23a51a5a801cb03006e923)] -> css selector: .listing-search-title]
2022-05-20 12:05:305 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 12:05:297 INFO  HomePage :32 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (877f95f6003704d1a97daa3533c92b66)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:405 INFO  HomePage :42 - Clicking on Used Search Car Option : [[ChromeDriver: chrome on WINDOWS (877f95f6003704d1a97daa3533c92b66)] -> xpath: //header/div[@id='u_H']/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/a[1]]
2022-05-20 12:05:563 INFO  HomePage :49 - select make : Ford
2022-05-20 12:05:615 INFO  HomePage :55 - select model : Capri
2022-05-20 12:05:703 INFO  HomePage :61 - select model : ACT-All
2022-05-20 12:05:788 INFO  HomePage :66 - select model : $20,000
2022-05-20 12:05:854 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (877f95f6003704d1a97daa3533c92b66)] -> xpath: //input[@id='search-submit']]
2022-05-20 12:05:311 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 12:05:741 INFO  HomePage :32 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (71c9b4eaa9c1ffe6a466d53fd6ce7f48)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:195 INFO  HomePage :42 - Clicking on Used Search Car Option : [[ChromeDriver: chrome on WINDOWS (71c9b4eaa9c1ffe6a466d53fd6ce7f48)] -> xpath: //header/div[@id='u_H']/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/a[1]]
2022-05-20 12:05:301 INFO  HomePage :49 - select make : Honda
2022-05-20 12:05:386 INFO  HomePage :55 - select model : Acty
2022-05-20 12:05:436 INFO  HomePage :61 - select model : ACT-All
2022-05-20 12:05:494 INFO  HomePage :66 - select model : $40,000
2022-05-20 12:05:562 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (71c9b4eaa9c1ffe6a466d53fd6ce7f48)] -> xpath: //input[@id='search-submit']]
2022-05-20 12:05:834 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 12:05:808 INFO  HomePage :32 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (546e743e753929475f9f85b1ad0bbada)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:755 INFO  HomePage :42 - Clicking on Used Search Car Option : [[ChromeDriver: chrome on WINDOWS (546e743e753929475f9f85b1ad0bbada)] -> xpath: //header/div[@id='u_H']/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/a[1]]
2022-05-20 12:05:886 INFO  HomePage :49 - select make : Audi
2022-05-20 12:05:970 INFO  HomePage :55 - select model : A1
2022-05-20 12:05:127 INFO  HomePage :61 - select model : ACT-All
2022-05-20 12:05:177 INFO  HomePage :66 - select model : $30,000
2022-05-20 12:05:257 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (546e743e753929475f9f85b1ad0bbada)] -> xpath: //input[@id='search-submit']]
2022-05-20 12:05:523 INFO  HomePage :77 - verifying search results : [[ChromeDriver: chrome on WINDOWS (546e743e753929475f9f85b1ad0bbada)] -> css selector: .listing-search-title]
2022-05-20 12:05:197 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 12:05:72 INFO  HomePage :32 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (e571a92991e41e71938d0a442173b8f5)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:172 INFO  HomePage :42 - Clicking on Used Search Car Option : [[ChromeDriver: chrome on WINDOWS (e571a92991e41e71938d0a442173b8f5)] -> xpath: //header/div[@id='u_H']/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/a[1]]
2022-05-20 12:05:736 INFO  HomePage :49 - select make : Audi
2022-05-20 12:05:802 INFO  HomePage :55 - select model : A3
2022-05-20 12:05:860 INFO  HomePage :61 - select model : ACT-All
2022-05-20 12:05:930 INFO  HomePage :66 - select model : $50,000
2022-05-20 12:05:20 INFO  HomePage :71 - select model : [[ChromeDriver: chrome on WINDOWS (e571a92991e41e71938d0a442173b8f5)] -> xpath: //input[@id='search-submit']]
2022-05-20 12:05:434 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 12:05:264 INFO  HomePage :32 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (7005283009aa6956a1bed6ee4aaba9aa)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:367 INFO  HomePage :37 - Clicking on Search Car Option : [[ChromeDriver: chrome on WINDOWS (7005283009aa6956a1bed6ee4aaba9aa)] -> xpath: //a[contains(text(),'Search Cars')]]
